Bloom1 | 1●/1✦ | Spirit Animal | U | ▸ Judgment: You may return a character to hand to gain 3●.
Bloom1 | 2●/1✦ | Spirit Animal | U | ▸ Materialized, Judgment: Gain 2●. The opponent gains 1✪.
Bloom1 | 2●/1✦ | Spirit Animal | R | ▸ Materialized: Draw a card. With 3 allied Spirit Animals, dissolve an enemy with spark 2 or less.
Bloom1 | 2●/1✦ | Spirit Animal | U | ▸ Judgment: Gain 1●. With 4 or more allies, gain 3● instead.
Bloom1 | 2●/1✦ | Ancient | R | ▸ Dissolved: The next character you play costs 0● and gains this ability.
Bloom1 | 4●/2✦ | Spirit Animal | R | ▸ Dissolved: The ally with the most spark gains +3 spark and this ability.
Bloom1 | 4●/1✦ | Spirit Animal | R | ▸ Judgment: Each character in your hand gains +1 spark.
Bloom2 | 5●/0✦ | Outsider | R | This character's spark is equal to the highest enemy's spark.
Ignite1 | 1●/1✦ | Survivor | U | ▸ Dissolved: Materialize a Warrior figment for each spark this character has.
Ignite1 | 1●/1✦ | Warrior | U | ▸ Judgment: With 3 cards in your void, this character gains +2 spark.
Ignite1 | 2●/2✦ | Warrior | C | Allied Warriors cost you 1● less.
Ignite1 | 2●/2✦ | Warrior | C | 2●, Banish a card from your void: Materialize a Warrior Figment.
Ignite1 | 2●/1✦ | Tinkerer | U | At the end of your turn, if an ally left play this turn, materialize a Warrior figment.
Ignite1 | 2●/1✦ | Mage | R | ▸ Judgment: Kindle 1. 5●: Each allied character gains +1 spark.
Ignite1 | 3●/2✦ | Ancient | C | When you materialize an ally, that ally gains +1 spark.
Ignite1 | 3●/2✦ | Robot | C | When you materialize a Warrior, materialize a Halcyon Figment.
Ignite1 | 3●/1✦ | Synth | R | ▸ Judgment: You may pay N● to have each ally gain +N spark.
Ignite2 | 3●/1✦ | Tinkerer | R | ▸ Materialized: Materialize a Warrior figment.  When you materialize a Figment, draw a card.
Ignite1 | 3●/0✦ | Tinkerer | R | When the opponent materializes a character, materialize a Celestial Figment.
Ignite2 | 3●/0✦ | Synth | R | ▸ Materialized: Materialize a Warrior figment. This character's spark is equal to the number of allied Figments.
Ignite1 | 3●/1✦ | Warrior | R | ▸ Materialized: Materialize a Warrior figment. ▸ Judgment: Kindle 1 for each allied Warrior.
Ignite1 | 3●/2✦ | Explorer | R | ▸ Judgment: If the opponent has more ✪ than you, materialize a Warrior figment and draw a card.
Ignite1 | 3●/1✦ | Warrior | R | When you draw a character, materialize a Warrior figment.
Ignite1 | 4●/2✦ | Musician | R | ▸ Materialized: Choose an ally. Each other ally's spark becomes equal to that ally's spark.
Ignite2 | 5●/2✦ | Tinkerer | R | ▸ Materialized: Materialize a Warrior figment. ▸Judgment: Gain 1● for each allied Figment.
Ignite1 | 5●/1✦ | Warrior | R | ▸ Judgment: Materialize a Warrior figment.
Ignite2 | 5●/0✦ | Tinkerer | R | ▸ Judgment: Each ally gains +1 spark.
Ignite2 | 5●/3✦ | Warrior | R | ▸ Judgment: With a non-Warrior ally, draw a Warrior and materialize it.
Ignite2 | 5●/1✦ | Visionary | R | ▸ Judgment: Each ally gains spark equal to this character's spark.
Ignite1 | 5●/2✦ | Warrior | R | When you draw a Warrior, materialize a copy of it with 1 spark.
Ignite2 | 6●/2✦ | Ancient | R | ▸ Materialized: Materialize a random 1-spark, a 2-spark, and a 3-spark character from your void.
Ignite2 | 10●/8✦ | Ancient | R | ▸ Dissolved: Materialize three Warrior figments.
Ignite1 | 3● | Event | R | Until end of turn, characters in hand cost 1● and have 1 spark.
Ignite1 | 4● | Event | R | Materialize a copy of each allied Warrior with 0 spark.
Arc1 | 3●/2✦ | Spirit Animal | U | ▸ Materialized: Banish an enemy with cost 3● or less until this character leaves play.
Arc2 | 3●/1✦ | Spirit Animal | R | When an ally is banished, this character gains +1 spark.  ▸ Judgment: Banish an ally, then materialize it.
Arc1 | 3●/2✦ | Mage | R | ▸ Materialized: Disable an enemy's activated and Judgment abilities while this character is in play.
Arc1 | 4●/2✦ | Mage | C | When you return an ally to hand, draw a card.
Arc2 | 5●/0✦ | Guide | C | Your cards have ↯fast.
Arc1 | 5●/2✦ | Outsider | R | ▸ Materialized: If you drew this character this turn, banish an enemy.
Arc1 | 3● | Fast Event | C | Banish an enemy until your next main phase.
Rime1 | 1●/1✦ | Tinkerer | U | ▸ Judgment: You may discard up to 2 cards, then draw that many cards. This character gains +1 spark per card discarded.
Rime1 | 2●/1✦ | Outsider | C | Discard 2 cards: Materialize a Shadow Figment.
Rime1 | 2●/1✦ | Renegade | C | When you discard a card, this character gains +2 spark.
Rime1 | 3●/1✦ | Explorer | U | ▸ Judgment: Draw a card, then discard a card. 2●: Materialize a Shadow Figment.
Rime1 | 3●/1✦ | Visionary | R | ▸ Judgment: With exactly 5 cards in your hand, draw a card.
Rime2 | 3●/0✦ | Tinkerer | R | While in hand, when you discard another card, this gains +2 spark.
Rime1 | 3●/2✦ | Outsider | R | ▸ Materialized: The opponent discards a card. They can't play cards with that cost until your next turn.
Rime2 | 3●/0✦ | Outsider | R | Discard a character: Play this character for 0● and it gains that character's spark.
Rime1 | 4●/0✦ | Survivor | C | Discard a card: Gain 2●.
Rime2 | 4●/2✦ | Tinkerer | R | When you discard a character, it gains +3 spark and is put into your deck instead.
Rime1 | 5●/3✦ | Ancient | R | Banish a card from hand: Play this character for 0●, then abandon it.  ▸ Materialized: Dissolve an enemy with spark 2 or less.
Rime1 | 5●/1✦ | Spirit Animal | C | Discard a card: This character gains +2 spark.
Rime2 | 5●/2✦ | Tinkerer | R | When you discard a character, materialize it.
Rime1 | 2● | Fast Event | U | Return a character from your void to your hand. The opponent discards a card.
Pact1 | 1●/1✦ | Mage | C | Abandon an ally: Foresee 2.
Pact1 | 1●/0✦ | Survivor | C | Abandon an ally: Draw a card.
Pact1 | 1●/0✦ | Tinkerer | U | ▸ Judgment: You may abandon an ally to gain 2●.
Pact1 | 2●/5✦ | Explorer | R | ▸ Materialized: Abandon an ally. Materialize a Shadow figment.
Pact1 | 2●/1✦ | Visionary | R | ▸ Judgment: You may abandon an ally to put cards from your deck into your void equal to that ally's spark.
Pact1 | 3●/1✦ | Mage | R | ▸ Judgment: You may abandon 2 allies to gain 2● and draw 2 cards.
Pact1 | 3●/0✦ | Ancient | R | If this card is in your void, when you abandon an ally, materialize a Shadow Figment.
Pact1 | 4●/2✦ | Guide | U | When you abandon a figment, gain 1✪.
Pact1 | 2● | Event | C | Abandon an ally: Gain 1 maximum ●.
