[event_chain, character_velocity] | 6●/4✦ | Ancient | R | When you play 2 cards in a turn, reclaim this character.
[discover_toolbox] | 2● | Event | U | Discover a card with cost 2●.
[judgment_engines, void_recursion, reclaim_characters] | 4●/0✦ | Tinkerer | R | ▸ Judgment: Return this character from your void to your hand.
[discard_velocity, void_recursion, void_setup, judgment_engines, hand_cycling] | 2●/0✦ | Trooper | R | ▸ Judgment: You may draw 2 cards, then discard 3 cards.
[discard_velocity, hand_cycling, void_recursion, void_setup, reclaim_events] | 2● | Event | C | Draw 2 cards. Discard 2 cards. Reclaim 2●
[discard_velocity, character_velocity] | 3●/2✦ | Explorer | U | When you discard this character, materialize it.
[judgment_bodies, hand_cycling, discard_velocity, point_pressure] | 2●/0✦ | Child | R | ▸ Judgment: You may discard a card to draw a card and gain 1✪.
[discard_velocity, void_recursion] | 3●/1✦ | Explorer | R | When you discard a card, it gains reclaim equal to its cost this turn.
[fast_setup, foresee_selection, judgment_bodies, fast_tempo] | 3●/2✦ | Agent | C | ↯fast -- ▸ Judgment: Foresee 1.
[abandon_furnace] | 9●/6✦ | Ancient | U | Abandon 2 allies: Reclaim this character.
[discard_velocity] | 3●/1✦ | Character | R | When you discard a card, gain 1✪.
[judgment_bodies, warrior_pressure, warrior_bastion, judgment_engines, cheap_curve] | 0●/0✦ | Warrior | L | ▸ Judgment: Gain 1●.
[resource_burst, big_energy, event_chain, event_setup] | 0● | Event | L | Gain 3●.
[cheap_removal] | 2● | Event | U | Dissolve an enemy. You lose 4✪.
[discard_velocity, character_velocity] | 5●/3✦ | Ancient | C | This character costs 1● if you have discarded a card this turn.
[warrior_bastion, judgment_engines] | 2●/1✦ | Warrior | U | ▸ Judgment: You may banish 3 cards from your void to dissolve an enemy with cost 2● or less.
[hand_cycling, discard_velocity, judgment_engines, judgment_bodies, void_setup] | 2●/1✦ | Hacker | C | ▸ Judgment: Draw a card, then discard a card.
[sweepers, prevent_control, warrior_bastion, survivor_dissolve] | 6● | Event | R | Dissolve all characters.
[discard_velocity, spark_tall] | 2●/1✦ | Renegade | R | When you discard a card, kindle 1.
[judgment_bodies, card_flow, judgment_engines, cheap_curve] | 2●/2✦ | Visitor | R | ▸ Judgment: Draw a card, then the opponent gains 2✪.
[void_recursion, character_velocity] | 4●/2✦ | Explorer | R | Once per turn, you may play a character with cost 2● or less from your void.
[materialize_value, materialize_tempo, discard_velocity, hand_cycling, void_setup] | 4●/3✦ | Detective | C | ▸ Materialized: Discard 2 cards, then draw 2 cards.
[reclaim_characters, void_recursion, card_flow, event_setup] | 2● | Event | C | You may return a character from your void to your hand, then draw a card.
[fast_interaction, premium_removal, fast_tempo] | 3● | Fast Event | C | Dissolve an enemy.
[survivor_dissolve, discard_velocity, judgment_engines] | 2●/1✦ | Survivor | U | ▸ Judgment: You may discard a card to dissolve an enemy with spark 1 or less.
[discard_velocity, spark_tall] | 4●/3✦ | Visitor | R | Once per turn, when you discard a card, gain 1●, then kindle 2.
[void_recursion] | 8●/8✦ | Ancient | R | Banish your void with 8 or more cards: Reclaim this character.
[materialize_value, materialize_tempo, reclaim_characters, void_recursion, hand_cycling] | 3●/2✦ | Child | C | ▸ Materialized: Draw a card, then discard a card. Reclaim 3●
[void_recursion] | 5●/*✦ | Ancient | U | This character's spark is equal to the number of cards in your void.
[warrior_pressure, character_velocity, go_wide_enablers, abandon_fodder] | 0●/1✦ | Warrior | C | 
[abandon_furnace, warrior_pressure, warrior_bastion] | 3●/1✦ | Ancient | R | ▸ Judgment: You may abandon a Warrior to discover a Warrior with cost 1● higher and materialize it.
[materialize_value, warrior_bastion, materialized_staples, card_flow, survivor_dissolve] | 3●/1✦ | Warrior | C | ▸ Materialized, Dissolved: Draw a card.
[prevent_control] | 2●/1✦ | Synth | R | When the opponent plays an event which could dissolve an ally, prevent that card.
[warrior_pressure, warrior_bastion] | 3●/2✦ | Warrior | U | 4●: This character gains +1 spark for each allied Warrior.
[warrior_pressure, warrior_bastion] | 2● | Fast Event | U | An ally gains +1 spark for each allied Warrior.
[warrior_pressure, warrior_bastion] | 2●/0✦ | Warrior | C | When you materialize an allied Warrior, this character gains +1 spark.
[materialize_tempo, materialize_value, character_velocity] | 4●/2✦ | Explorer | R | Once per turn, when you materialize a character with cost 2● or less, draw a card.
[cheap_removal, void_denial] | 2● | Event | U | Banish an enemy with cost 2● or less.
[cheap_removal, void_denial] | 1● | Event | U | Banish a non-Warrior enemy.
[fast_interaction, cheap_removal, fast_tempo] | 2● | Fast Event | C | Dissolve an enemy with spark 1 or less.
[warrior_pressure, warrior_bastion] | 1● | Event | C | Dissolve an enemy with cost less than the number of allied Warriors.
[warrior_pressure, warrior_bastion] | 1● | Event | U | Discover a Warrior.
[void_recursion, warrior_pressure, warrior_bastion] | 3●/1✦ | Warrior | C | 2●, Banish another card in your void: Reclaim this character.
[abandon_fodder, abandon_furnace, warrior_pressure] | 2●/1✦ | Warrior | R | 2●, Abandon an ally with spark 1 or less: Draw 2 cards.
[warrior_pressure, warrior_bastion] | 0●/0✦ | Warrior | C | ▸ Materialized, Judgment: With 2 allied Warriors, gain 1●.
[big_energy, judgment_bodies, materialized_staples, warrior_pressure, warrior_bastion] | 1●/0✦ | Warrior | L | ▸ Materialized, Judgment: Gain 2●.
[materialize_tempo, materialize_value] | 1●/1✦ | Warrior | C | Once per turn, when you materialize a character, gain 1●.
[warrior_pressure, warrior_bastion, materialize_value] | 3●/2✦ | Warrior | C | ▸ Materialized: Draw a Warrior from your deck.
[abandon_furnace, discard_velocity] | 2●/1✦ | Warrior | R | 2●, Abandon a character, Discard your hand: Draw 3 cards.
[warrior_bastion, prevent_control] | 2●/2✦ | Warrior | U | Disable the ▸ Materialized: abilities of enemies.
[warrior_pressure, warrior_bastion] | 2●/1✦ | Warrior | C | Allied Warriors have +1 spark.
[warrior_bastion, void_denial, judgment_engines, spark_tall] | 2●/0✦ | Warrior | R | ▸ Judgment: You may pay 1● to kindle 1 and banish a card from the opponent's void.
[prevent_control, hand_disruption, midcurve_glue] | 3●/2✦ | Mage | U | The opponent's events cost 1● more.
[warrior_bastion, prevent_control, materialize_tempo] | 3●/2✦ | Warrior | U | ▸ Materialized: Disable the activated abilities of an enemy while this character is in play.
[warrior_pressure, warrior_bastion, materialized_staples, materialize_value, card_flow] | 2●/2✦ | Warrior | C | ▸ Materialized: Draw a card.
[abandon_furnace, warrior_pressure, spark_tall] | 4●/2✦ | Warrior | C | Abandon an ally: This character gains +1 spark.
[warrior_pressure, warrior_bastion, spark_tall] | 2●/*✦ | Warrior | C | This character's spark is equal to the number of allied Warriors.
[warrior_pressure, materialize_value, warrior_bastion] | 4●/2✦ | Mage | U | Once per turn, when you materialize a Warrior, draw a card.
[warrior_bastion, warrior_pressure, void_recursion] | 5●/3✦ | Mage | R | When you play a Warrior, reclaim a random character with cost 3● or less.
[prevent_control, fast_interaction, fast_setup, fast_tempo] | 2● | Fast Event | U | Lose 1 maximum ●: Play this event for 0●. Prevent a played card.
[prevent_control, fast_interaction, fast_setup, fast_tempo] | 5● | Fast Event | U | Banish a card from hand: Play this event for 0●. Prevent a played card.
[prevent_control, fast_interaction, fast_setup] | 1● | Fast Event | C | Prevent a played event unless the opponent pays 2●.
[hand_disruption, prevent_control] | 1● | Event | U | Discard a chosen card with cost 3● or less from the opponent's hand.
[hand_disruption, prevent_control] | 1● | Event | U | Discard a chosen character from the opponent's hand.
[fast_interaction, premium_removal, prevent_control, fast_tempo] | 4● | Fast Event | R | Banish a card from hand: Play this event for 0●. Dissolve an enemy.
[cheap_removal, fast_interaction, fast_tempo] | 0● | Fast Event | R | Dissolve an enemy. The opponent gains 3✪.
[prevent_control, fast_interaction, fast_setup, fast_tempo] | 2● | Fast Event | C | Prevent a played card.
[reclaim_events, event_setup, card_flow, foresee_selection] | 1● | Fast Event | C | Foresee 1. Draw a card. Reclaim 3●
[abandon_furnace, discard_velocity, leave_play_enablers] | 1● | Fast Event | U | Abandon an ally or discard a card: Dissolve an enemy.
[materialize_tempo, prevent_control, materialized_staples, fast_tempo] | 3●/1✦ | Synth | U | ↯fast -- ▸ Materialized: Prevent a played card with cost 2● or less.
[materialize_tempo, materialize_value, materialized_staples] | 5●/2✦ | Ancient | R | ↯fast -- ▸ Materialized: Gain control of an enemy with cost 2● or less.
[abandon_furnace, materialize_value, leave_play_enablers] | 6●/2✦ | Ancient | R | Abandon an ally: Play this character for 0●, then abandon it. ▸ Materialized: Dissolve an enemy.
[judgment_bodies, point_pressure, cheap_curve, judgment_engines] | 2●/1✦ | Visitor | U | ↯fast -- ▸ Judgment: Gain 1✪.
[materialized_staples, materialize_value, materialize_tempo, foresee_selection] | 3●/2✦ | Robot | C | ↯fast -- ▸ Materialized: Foresee 2.
[ally_formation, warrior_pressure, warrior_bastion, spirit_growth, survivor_dissolve] | 2●/2✦ | * | C | Has all character types. ▸ Judgment: With 3 allies that share a character type, draw a card.
[fast_tempo] | 2●/1✦ | Musician | C | ↯fast -- Once per turn, when you play a ↯fast card, draw a card.
[fast_tempo] | 3●/2✦ | Musician | C | ↯fast -- When you play a ↯fast card, this character gains +2 spark.
[fast_tempo] | 4●/2✦ | Musician | R | ↯fast -- When you play a ↯fast card, gain 1✪.
[materialize_value, judgment_engines, materialize_tempo] | 5●/3✦ | Ancient | R | To play this card, return an ally with cost 3● or more to hand. ▸ Judgment: Draw a card.
[big_energy, resource_burst, cheap_curve] | 2●/2✦ | Musician | C | At the end of your turn, gain 2●.
[character_velocity, fast_tempo] | 3●/2✦ | Visitor | R | Characters in your hand have ↯fast. Once per turn, when you play a ↯fast character, gain 1●.
[discard_velocity, big_energy, card_flow, event_chain] | 0● | Fast Event | C | Pay 1 or more ●: Draw a card for each ● spent, then discard 2 cards.
[materialize_tempo, tempo_resets, materialized_staples, fast_tempo] | 4●/1✦ | Outsider | C | ↯fast -- ▸ Materialized: Return an enemy to hand.
[point_pressure, judgment_engines] | 4●/0✦ | Visitor | C | ↯fast -- ▸ Judgment: Gain 2✪.
[reclaim_events, materialize_value, void_recursion] | 3●/1✦ | Survivor | U | ↯fast -- ▸ Materialized: An event in your void gains reclaim equal to its cost this turn.
[void_recursion, discard_velocity, survivor_dissolve] | 4●/2✦ | Survivor | U | ↯fast -- When you draw 2 cards in a turn, if this card is in your void, it gains reclaim 1● this turn.
[card_flow, event_chain, event_setup, fast_setup] | 1● | Fast Event | L | Draw 3 cards.
[bounce_blink_tools, materialize_tempo, tempo_resets, fast_interaction, fast_setup] | 3● | Fast Event | C | Return an enemy or ally to hand. Draw a card.
[fast_tempo, materialize_value] | 2●/1✦ | Visitor | R | ↯fast -- ▸ Materialized: Discover a ↯fast event.
[event_chain, character_velocity] | 5● | Event | R | Gain 1✪ for each card you have played this turn.
[event_chain, character_velocity] | 3● | Event | U | Draw a card for each card you have played this turn.
[event_chain] | 4●/2✦ | Tinkerer | U | Events cost you 2● more. When you play an event from your hand, copy it.
[copy_effects, event_chain] | 3● | Event | U | Until end of turn, when you play an event, copy it.
[event_chain] | 5● | Event | C | Copy the next event you play this turn three times. Reclaim 2●
[void_recursion, reclaim_events, reclaim_characters] | 6● | Event | R | All cards currently in your void gain reclaim equal to their cost this turn.
[hand_cycling, discard_velocity, card_flow, void_setup] | 2● | Event | C | Discard a card. Draw 2 cards.
[event_chain] | 1● | Event | U | Double the number of cards you draw from card effects this turn.
[reclaim_events, void_recursion, event_chain] | 3● | Event | C | An event in your void gains reclaim 0● this turn.
[judgment_repeaters, judgment_engines] | 1● | Event | U | At the end of this turn, trigger an additional Judgment phase.
[finishers, event_chain, judgment_engines] | 3● | Event | L | Take an extra turn after this one.
[cost_reduction, event_chain] | 3●/1✦ | Visitor | C | Events cost you 1● less.
[event_chain] | 4●/2✦ | Visitor | U | When you play an event, gain 1●.
[resource_burst, big_energy, event_chain] | 4● | Event | U | Gain 6●.
[big_energy, event_chain] | 2● | Event | U | Double the amount of ● you have.
[big_energy, event_chain] | 2● | Event | U | Double the amount of ● you gain from card effects this turn.
[resource_burst, big_energy, event_setup, card_flow, event_chain] | 2● | Event | C | Gain 2●. Draw a card.
[hand_cycling, discard_velocity, big_energy, card_flow, resource_burst] | 3● | Event | C | Draw 2 cards. Discard 2 cards. Gain 2●.
[event_chain, materialize_value] | 6●/3✦ | Outsider | R | ▸ Materialized: Copy the next event you play this turn three times.
[card_flow, tempo_resets] | 4● | Event | R | Each player may shuffle their hand and void into their deck and then draw 5 cards.
[resource_burst, big_energy, event_chain] | 2● | Event | C | Gain 4●.
[abandon_fodder, abandon_furnace, leave_play_enablers, big_energy] | 1● | Event | U | Abandon an ally: Gain ● equal to that character's cost.
[void_recursion] | 0● | Event | U | Dissolve an enemy with cost less than the number of cards in your void.
[card_flow, event_chain] | 5● | Event | L | Draw 3 cards.
[void_setup, void_recursion, reclaim_events, reclaim_characters] | 1● | Event | C | Put the top 3 cards of your deck into your void. Draw a card.
[prevent_control, fast_interaction] | 1● | Event | U | Prevent a played ↯fast card.
[discover_toolbox, event_chain, event_setup] | 2● | Event | U | Discover an event.
[hand_cycling, discard_velocity, card_flow, void_setup] | 3● | Event | C | Draw 3 cards. Discard 2 cards.
[event_chain] | 2●/1✦ | Visionary | C | When you play an event, foresee 1.
[prevent_control, fast_interaction, tempo_resets] | 1● | Event | U | Prevent a played card. Put it on top of the opponent's deck.
[event_chain] | 4●/*✦ | Ancient | U | When an event is put into your void, this character gains +1 spark.
[cost_reduction, character_velocity] | 5●/2✦ | Explorer | R | Characters cost you 2● less.
[judgment_engines, materialize_value] | 5●/2✦ | Super | R | When you materialize a character, trigger the ▸ Judgment: ability of each ally.
[character_velocity] | 1● | Event | U | Until end of turn, when you play a character, draw a card.
[spirit_growth, judgment_engines] | 3●/1✦ | Spirit Animal | C | ▸ Judgment: Gain 1● for each allied Spirit Animal.
[materialize_tempo, bounce_blink_tools, spirit_growth] | 3●/1✦ | Spirit Animal | C | ▸ Materialized: You may return an ally to hand.
[materialize_tempo, bounce_blink_tools, fast_setup] | 2●/1✦ | Explorer | U | ↯fast -- ▸ Materialized: Return an ally to hand.
[judgment_engines, spirit_growth] | 3●/2✦ | Spirit Animal | R | The '▸ Judgment:' ability of allies triggers when you materialize them.
[spirit_growth, materialize_value] | 1●/1✦ | Spirit Animal | C | When you materialize an allied Spirit Animal, gain 1●.
[spirit_growth, judgment_engines] | 1●/1✦ | Spirit Animal | C | ▸ Judgment: With 2 allied Spirit Animals, gain 2●.
[ally_formation, spirit_growth, judgment_engines] | 3●/1✦ | Spirit Animal | U | ▸ Judgment: Gain 1● for each allied character.
[spirit_growth] | 12● | Event | R | Each allied Spirit Animal gains spark equal to the number of allied Spirit Animals.
[event_chain, character_velocity] | 2●/2✦ | Spirit Animal | R | When you have no cards in your deck, you win the game.
[materialize_value, materialize_tempo] | 3● | Event | U | Return all but one ally to hand: Draw a card for each ally returned.
[materialize_tempo, materialize_value] | 3●/1✦ | Visitor | C | When you materialize a character, this character gains +1 spark.
[spirit_growth, character_velocity] | 3●/1✦ | Spirit Animal | U | When you play a Spirit Animal, draw a card.
[spirit_growth, judgment_engines] | 2●/1✦ | Spirit Animal | U | ▸ Judgment: You may pay 4● to have each allied Spirit Animal gain +2 spark.
[spirit_growth, materialize_tempo] | 3●/1✦ | Spirit Animal | C | When you materialize an allied Spirit Animal, that character gains +1 spark.
[judgment_bodies, spark_growth, spirit_growth, spark_tall] | 1●/1✦ | Spirit Animal | C | ▸ Materialized, Judgment: Kindle 1.
[reclaim_characters, spirit_growth, void_recursion, materialize_value] | 3●/1✦ | Spirit Animal | U | ▸ Materialized: Return a character from your void to your hand.
[materialized_staples, spirit_growth, materialize_value, card_flow] | 2●/1✦ | Spirit Animal | C | ▸ Materialized: Draw a card.
[judgment_bodies, spirit_growth, materialized_staples, resource_burst] | 1●/1✦ | Spirit Animal | C | ▸ Materialized, Judgment: Gain 1●.
[judgment_bodies, spirit_growth, resource_burst, judgment_engines] | 3●/1✦ | Spirit Animal | C | ▸ Judgment: Gain 2●.
[spirit_growth, character_velocity] | 4●/2✦ | Spirit Animal | U | Reveal the top card of your deck. You may play characters from the top of your deck.
[void_denial, spirit_growth, fast_setup] | 3●/1✦ | Spirit Animal | U | ↯fast -- ▸ Materialized: Banish the opponent's void.
[spirit_growth, materialize_value] | 2●/1✦ | Visitor | U | ▸ Materialized: Draw a card for each allied Spirit Animal.
[spirit_growth] | 1●/1✦ | Spirit Animal | U | 3●: The spark of each allied Spirit Animal becomes 5.
[materialize_tempo, bounce_blink_tools, fast_setup, materialize_value] | 5●/1✦ | Guide | U | ↯fast -- ▸ Materialized: You may banish an ally, then materialize it.
[materialize_value, judgment_engines, bounce_blink_tools, trigger_reuse] | 4●/1✦ | Mage | R | ▸ Materialized, Judgment: Banish an ally with spark 2 or less, then materialize it.
[void_recursion, materialize_value, reclaim_characters] | 4●/1✦ | Survivor | U | ▸ Materialized: A card with cost 3● or less in your void gains reclaim 0●.
[materialize_value, materialize_tempo] | 6●/3✦ | Ancient | R | ▸ Materialized: Banish any number of allies, then materialize them.
[prevent_control, hand_disruption, materialize_value] | 3●/2✦ | Outsider | R | ▸ Materialized: Discard a chosen card from the opponent's hand. They draw a card.
[materialized_staples, materialize_value, card_flow] | 6●/2✦ | Ancient | U | ▸ Materialized: Draw 2 cards.
[premium_removal, materialize_value, materialized_staples] | 5●/2✦ | Outsider | U | ▸ Materialized: Banish an enemy until this character leaves play.
[bounce_blink_tools, materialize_tempo, materialize_value, leave_play_enablers] | 1● | Event | C | Banish an ally. Materialize it at end of turn. Reclaim 1●
[prevent_control, fast_interaction, cheap_curve, abandon_fodder] | 1●/1✦ | Visitor | U | ↯fast -- Abandon this character: Prevent a played event.
[character_tutors, discover_toolbox, materialize_value, materialize_tempo] | 2● | Event | R | Discover a character with a ▸ Materialized: ability.
[judgment_engines, materialize_value, bounce_blink_tools, trigger_reuse] | 3●/1✦ | Explorer | U | ▸ Judgment: You may banish an ally, then materialize it.
[materialize_tempo, materialize_value] | 4●/0✦ | Explorer | U | When an ally is banished, this character gains +1 spark.
[materialize_tempo, spark_tall, materialize_value] | 4●/2✦ | Avatar | C | When an ally is banished, kindle 1.
[character_velocity, ally_formation, materialize_value] | 5● | Event | R | Materialize two random characters with cost 3● or less from your deck.
[prevent_control, fast_interaction, fast_setup] | 2● | Fast Event | U | Prevent a played character.
[cheap_removal, spark_disruption] | 2● | Event | C | Dissolve an enemy with spark 3 or more.
[cheap_removal, reclaim_events, event_chain] | 3● | Event | R | Dissolve an enemy with cost 3● or more. Reclaim 1●
[sweepers, spark_disruption, big_energy, resource_burst] | 2● | Event | R | Pay 1 or more ●: Dissolve all characters with spark less than the amount of ● paid.
[judgment_engines, materialize_value, bounce_blink_tools, trigger_reuse, big_energy] | 3●/2✦ | Explorer | U | ▸ Judgment: You may pay 3● to banish up to 2 allies, then materialize them.
[tempo_resets, materialize_tempo, materialized_staples] | 5●/2✦ | Synth | R | ▸ Materialized: Banish an enemy until your next main phase.
[bounce_blink_tools, materialize_value, materialize_tempo, leave_play_enablers] | 3● | Event | U | Banish up to 2 allies, then materialize them.
[materialized_staples, materialize_value, resource_burst, big_energy] | 4●/1✦ | Explorer | C | ▸ Materialized: Gain 3●.
